ModelName,Period,Model,Climate Scenario,EnergyAnnual_mean,EnergyAnnual_P50,CapFactor_mean,YearType,meanVar,P50Var,LowFlowShutoffProportion_mean,HighHeadShutoffProportion_mean,LowHeadShutoffProportion_mean,ShutoffDaysProportion_mean,P95Power
Historic,Historic,Historic,Historic,843,868,0.535,Calendar,,,0.000367,0.00961,0,0.0101,26.4
ssp2_2050_MPI-ESM1-2-HR,2050,MPI-ESM1-2-HR,ssp2,731,785,0.463,Calendar,-0.133,-0.0956,0.0169,0.0451,0,0.0623,14.8
ssp2_2050_CanESM5,2050,CanESM5,ssp2,672,728,0.426,Calendar,-0.203,-0.161,0.0255,0.0613,0,0.0867,0
ssp2_2050_ACCESS-ESM1-5,2050,ACCESS-ESM1-5,ssp2,721,788,0.457,Calendar,-0.145,-0.0922,0.0272,0.0582,0,0.0853,0
ssp2_2050_MIROC6,2050,MIROC6,ssp2,802,840,0.509,Calendar,-0.0486,-0.0323,0.00367,0.0174,0,0.0208,23.2
ssp2_2050_CNRM-CM6-1,2050,CNRM-CM6-1,ssp2,631,697,0.4,Calendar,-0.251,-0.197,0.0344,0.0758,0,0.11,0
ssp2_2050_NESM3,2050,NESM3,ssp2,787,828,0.499,Calendar,-0.0664,-0.0461,0.007,0.0208,0,0.028,22.8
ssp2_2050_MRI-ESM2-0,2050,MRI-ESM2-0,ssp2,707,765,0.449,Calendar,-0.161,-0.119,0.0166,0.0497,0,0.0666,13.2
ssp2_2050_FGOALS-g3,2050,FGOALS-g3,ssp2,765,818,0.485,Calendar,-0.0925,-0.0576,0.00903,0.0336,0,0.0425,18.9
ssp2_2050_HadGEM3-GC31-LL,2050,HadGEM3-GC31-LL,ssp2,646,721,0.41,Calendar,-0.234,-0.169,0.0359,0.0735,0,0.109,0
ssp2_2050_UKESM1-0-LL,2050,UKESM1-0-LL,ssp2,742,800,0.47,Calendar,-0.12,-0.0783,0.0168,0.0477,0,0.0646,14
ssp2_2085_MPI-ESM1-2-HR,2085,MPI-ESM1-2-HR,ssp2,594,662,0.377,Calendar,-0.295,-0.237,0.0488,0.103,0,0.152,0
ssp2_2085_CanESM5,2085,CanESM5,ssp2,610,669,0.387,Calendar,-0.276,-0.229,0.0458,0.0999,0,0.146,0
ssp2_2085_ACCESS-ESM1-5,2085,ACCESS-ESM1-5,ssp2,749,810,0.475,Calendar,-0.112,-0.0668,0.0214,0.053,0,0.0745,0
ssp2_2085_MIROC6,2085,MIROC6,ssp2,790,827,0.501,Calendar,-0.0629,-0.0472,0.004,0.0212,0,0.0255,21.6
ssp2_2085_CNRM-CM6-1,2085,CNRM-CM6-1,ssp2,690,756,0.438,Calendar,-0.181,-0.129,0.0269,0.0592,0,0.0863,0
ssp2_2085_NESM3,2085,NESM3,ssp2,747,798,0.473,Calendar,-0.114,-0.0806,0.0121,0.0355,0,0.0474,18.8
ssp2_2085_MRI-ESM2-0,2085,MRI-ESM2-0,ssp2,705,746,0.447,Calendar,-0.164,-0.141,0.0191,0.0529,0,0.072,0
ssp2_2085_FGOALS-g3,2085,FGOALS-g3,ssp2,669,739,0.424,Calendar,-0.206,-0.149,0.034,0.0673,0,0.102,0
ssp2_2085_HadGEM3-GC31-LL,2085,HadGEM3-GC31-LL,ssp2,677,742,0.43,Calendar,-0.197,-0.145,0.0354,0.0712,0,0.106,0
ssp2_2085_UKESM1-0-LL,2085,UKESM1-0-LL,ssp2,723,780,0.459,Calendar,-0.142,-0.101,0.0196,0.0518,0,0.0712,0
ssp5_2050_MPI-ESM1-2-HR,2050,MPI-ESM1-2-HR,ssp5,669,721,0.424,Calendar,-0.206,-0.169,0.0254,0.0644,0,0.0891,0
ssp5_2050_CanESM5,2050,CanESM5,ssp5,548,615,0.347,Calendar,-0.35,-0.291,0.0716,0.131,0,0.204,0
ssp5_2050_ACCESS-ESM1-5,2050,ACCESS-ESM1-5,ssp5,717,778,0.455,Calendar,-0.149,-0.104,0.0206,0.0468,0,0.067,14.8
ssp5_2050_MIROC6,2050,MIROC6,ssp5,776,823,0.492,Calendar,-0.0795,-0.0518,0.00887,0.0329,0,0.0416,20.1
ssp5_2050_CNRM-CM6-1,2050,CNRM-CM6-1,ssp5,820,846,0.52,Calendar,-0.0273,-0.0253,0.000367,0.0108,0.000533,0.0119,24.4
ssp5_2050_NESM3,2050,NESM3,ssp5,807,838,0.512,Calendar,-0.0427,-0.0346,0.00533,0.0172,0,0.0224,24
ssp5_2050_MRI-ESM2-0,2050,MRI-ESM2-0,ssp5,652,714,0.414,Calendar,-0.227,-0.177,0.0336,0.0731,0,0.107,0
ssp5_2050_FGOALS-g3,2050,FGOALS-g3,ssp5,693,757,0.44,Calendar,-0.178,-0.128,0.0267,0.0572,0,0.0838,0
ssp5_2050_HadGEM3-GC31-LL,2050,HadGEM3-GC31-LL,ssp5,589,650,0.374,Calendar,-0.301,-0.251,0.0561,0.109,0,0.165,0
